rT ~ exp(aa * T) - exp(aa * Tmax - (Tmax - T)/deltaT) + bb,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,aa,Tmax,deltaT,bb,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,includens,all,0.0019,38.2976,0.7152,-1.0214,FR,10.1603/0046-225X-33.1.1,Environmental Entomology,2004,10,37.5,8,25,16:8,65,Grece,38.006485,23.765652,NA
Kontodimas et al. 2004,Coleoptera,Coccinellidae,Nephus,bisignatus,all,0.0017,39.6875,1.5488,-1.0168,FR,10.1603/0046-225X-33.1.1,Environmental Entomology,2004,10,37.5,8,25,16:8,65,Grece,38.006485,23.765652,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,egg,0.0111,39.6357,2.2536,-1.1216,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,larva,0.0034,41.0808,2.136,-1.0336,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,pupa,0.0043,40.9746,2.109,-1.0474,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,all,0.0018,43.0451,2.2827,-1.0198,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Lactin et al. 1995,Coleoptera,Chrysomelidae,Leptinotarsa,decemlineata,eggs,0.139034,38.890035,7.16711,-0.02641,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Coleoptera,Chrysomelidae,Leptinotarsa,decemlineata,L1,0.096314,44.51412,10.074502,-0.238647,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Coleoptera,Chrysomelidae,Leptinotarsa,decemlineata,L2,0.105906,40.725042,9.161844,-0.249972,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Coleoptera,Chrysomelidae,Leptinotarsa,decemlineata,L3,0.019087,36.873879,1.690717,-1.212223,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Coleoptera,Chrysomelidae,Leptinotarsa,decemlineata,L4,0.146066,36.643691,6.813403,-0.051544,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Coleoptera,Chrysomelidae,Entomoscelis,americana,eggs,0.126278,39.843716,7.715781,-0.20038,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Coleoptera,Chrysomelidae,Entomoscelis,americana,larva,0.121699,38.429502,8.200914,-0.015152,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Orthoptera,Acrididae,Melanoplus,sanguinipes,all,0.002245,54.872728,2.426034,-1.035138,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Homoptera,Aphididae,Acyrthosiphon,pisum,all,0.158712,31.60617,6.278001,-0.003533,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Diptera,Simuliidae,Simulium,arcticum,eggs,0.221673,23.292229,4.503865,0.001416,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lactin et al. 1995,Diptera,Muscidae,Musca,domestica,eggs + larva,0.119357,44.186047,8.348083,-0.047561,FR,10.1093/ee/24.1.68,Environmental Entomology,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,eggs,0.018,42.049,4.005,-1.263,FR,10.1111/j.1744-7917.2012.01503.x,Insect Science,2012,16,36,7,200,8:16,65,Iran,38.252986,48.299232,NA
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,larva,0.005,34.369,0.096,-1.053,FR,10.1111/j.1744-7917.2012.01503.x,Insect Science,2012,16,36,7,200,8:16,65,Iran,38.252986,48.299232,NA
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,pupa,0.011,40.296,2.439,-1.154,FR,10.1111/j.1744-7917.2012.01503.x,Insect Science,2012,16,36,7,200,8:16,65,Iran,38.252986,48.299232,NA
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,eggs,0.00924,33.63,0.99,-1.0814,FR,10.1093/jee/85.2.561,Environmental Entomology,1998,8,34,14,28,16:8,65,France,44.837557,-0.578932,NA
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L1,0.011,35.72,1.63,-1.09,FR,10.1093/jee/85.2.561,Environmental Entomology,1998,8,34,14,28,16:8,65,France,44.837557,-0.578932,NA
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L2,0.0139,37.03,2.168,-1.1,FR,10.1093/jee/85.2.561,Environmental Entomology,1998,8,34,14,28,16:8,65,France,44.837557,-0.578932,NA
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L3,0.014,41.076,3.814,-1.106,FR,10.1093/jee/85.2.561,Environmental Entomology,1998,8,34,14,28,16:8,65,France,44.837557,-0.578932,NA
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L4,0.0122,40.22,3.227,-1.082,FR,10.1093/jee/85.2.561,Environmental Entomology,1998,8,34,14,28,16:8,65,France,44.837557,-0.578932,NA
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,L5,0.008,43.63,4.348,-1.06,FR,10.1093/jee/85.2.561,Environmental Entomology,1998,8,34,14,28,16:8,65,France,44.837557,-0.578932,NA
Briere and Pracros 1998,Lepidoptera,Tortricidae,Lobesia,botrana,pupa,0.0056,39.68,1.827,-1.051,FR,10.1093/jee/85.2.561,Environmental Entomology,1998,8,34,14,28,16:8,65,France,44.837557,-0.578932,NA
Golizadeh et al. 2008,Hymenoptera,Ichneumonidae,Diadegma,anurum,all,0.003,39.821,2.045,-1.031,FR,10.1093/ee/37.1.38,Environmental Entomology,2008,15,35,5,NA,14:10,65,Iran,35.705563,51.398871,NA
Golizadeh et al. 2008,Hymenoptera,Ichneumonidae,Diadegma,anurum,all,0.003,38.466,1.444,-1.025,FR,10.1093/ee/37.1.38,Environmental Entomology,2008,15,35,5,NA,14:10,65,Iran,35.705563,51.398871,NA
Damos and Savopoulou 2008,Lepidoptera,Gelechiidae,Anarsia,lineatella,eggs,0.013,35.467,0.228,-1.197,FR,10.1603/0022-0493(2008)101[1557:TBAMOA]2.0.CO;2,Journal of Economic Entomology,2008,15,35,5,50,16:8,65,Greece,40.641185,22.941049,NA
Damos and Savopoulou 2008,Lepidoptera,Gelechiidae,Anarsia,lineatella,larva,0.003,36.427,0.322,-1.049,FR,10.1603/0022-0493(2008)101[1557:TBAMOA]2.0.CO;2,Journal of Economic Entomology,2008,15,35,5,50,16:8,65,Greece,40.641185,22.941049,NA
Damos and Savopoulou 2008,Lepidoptera,Gelechiidae,Anarsia,lineatella,pupa,0.012,35.68,0.25,-1.191,FR,10.1603/0022-0493(2008)101[1557:TBAMOA]2.0.CO;2,Journal of Economic Entomology,2008,15,35,5,50,16:8,65,Greece,40.641185,22.941049,NA
Damos and Savopoulou 2008,Lepidoptera,Gelechiidae,Anarsia,lineatella,all,0.003,35.992,0.259,-1.04,FR,10.1603/0022-0493(2008)101[1557:TBAMOA]2.0.CO;2,Journal of Economic Entomology,2008,15,35,5,50,16:8,65,Greece,40.641185,22.941049,NA
