rT ~ aa * T * (T - Tmin) * (Tmax - T)^(1 / 2),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
REF,ORDER,FAMILY,GENUS,SPECIES,STAGE,aa,Tmin,Tmax,contributor,DOI,journal,year,TminExpe,TmaxExpe,numT,numIndEgg,lightDark,rh,country,coorX,coorY,comments
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,eggs,0.0001453,9.645,37.6185,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,larva,0.00004022,8.8676,36.3525,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,pupa,0.000051,9.8042,37.2604,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Aghdam et al. 2009,Lepidoptera,Tortricidae,Cydia,pomonella,all,0.00002,9.6188,36.5508,FR,10.1603/022.038.0343,Environmental Entomology,2009,10,35,8,135,16:8,50,Iran,37.388392,46.240941,NA
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,eggs,0.0003,12.632,36.299,FR,10.1111/j.1744-7917.2012.01503.x,Insect Science,2012,16,36,7,200,8:16,65,Iran,38.252986,48.299232,NA
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,larva,0.00005,9.802,40.274,FR,10.1111/j.1744-7917.2012.01503.x,Insect Science,2012,16,36,7,200,8:16,65,Iran,38.252986,48.299232,NA
Golizadeh et al. 2012,Lepidoptera,Gelechiidae,Phthorimaea,operculella,pupa,0.0002,13.358,36.481,FR,10.1111/j.1744-7917.2012.01503.x,Insect Science,2012,16,36,7,200,8:16,65,Iran,38.252986,48.299232,NA
Briere et al. 1999,Lepidoptera,Tortricidae,Lobesia,botrana,eggs,1.7,10.55,34.00,FR,10.1093/ee/28.1.22,Environmental Entomology,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,data from Briere and Pracros 1998
Briere et al. 1999,Lepidoptera,Tortricidae,Lobesia,botrana,L1,2,9.00,34.90,FR,10.1093/ee/28.1.22,Environmental Entomology,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,data from Briere and Pracros 1998
Briere et al. 1999,Lepidoptera,Tortricidae,Lobesia,botrana,L2,2.3,7.86,34.60,FR,10.1093/ee/28.1.22,Environmental Entomology,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,data from Briere and Pracros 1998
Briere et al. 1999,Lepidoptera,Tortricidae,Lobesia,botrana,L3,2.4,8.10,34.00,FR,10.1093/ee/28.1.22,Environmental Entomology,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,data from Briere and Pracros 1998
Briere et al. 1999,Lepidoptera,Tortricidae,Lobesia,botrana,L4,2.3,9.00,34.00,FR,10.1093/ee/28.1.22,Environmental Entomology,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,data from Briere and Pracros 1998
Briere et al. 1999,Lepidoptera,Tortricidae,Lobesia,botrana,L5,1.25,7.73,34.00,FR,10.1093/ee/28.1.22,Environmental Entomology,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,data from Briere and Pracros 1998
Briere et al. 1999,Lepidoptera,Tortricidae,Lobesia,botrana,pupa,0.95,11.55,36.41,FR,10.1093/ee/28.1.22,Environmental Entomology,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,data from Briere and Pracros 1998
